sku_surtilec_candidato,referencia_fuente_interna,nombre_fuente_interno,nombre_surtilec_propuesto,descripcion_corta_propuesta,descripcion_larga_propuesta,categoria_surtilec,subcategoria_surtilec,unidad_venta_propuesta,datos_confirmados_por_referencia,datos_pendientes_de_verificacion,coincidencia_catalogo_actual,estado_fuente,estado_imagen,evidencia_interna_url,imagen_interna_url,campos_pendientes
SRT-CTRL-7x12AWG-CU-PVC,,Cable Control 7x12 AWG PC Cu PVC,"Cable de control 7 x 12 AWG, cobre, PVC","Cable de control con 7 x 12 AWG, cobre, PVC. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 7 x 12 AWG, cobre, PVC. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 7 x 12 AWG; conductor indicado: cobre; aislamiento indicado: PVC,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; significado de la sigla PC; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-7x12-awg-pc-cu-pvc,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/76680/b715465cb0d0048a.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-2x14-20AWG-CU-PVC-600V,,Cable Control 2x14+20 awg cu pvc tc ls 90°c 600v,"Cable de control 2 x 14 + 20 AWG, cobre, PVC, 600 V","Cable de control con 2 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 2 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 2 x 14 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-2x14-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/415/1988be1f06be85cb.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-4x14-20AWG-CU-PVC-600V,,Cable Control 4x14+20 awg cu pvc tc ls 90°c 600v,"Cable de control 4 x 14 + 20 AWG, cobre, PVC, 600 V","Cable de control con 4 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 4 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 4 x 14 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-4x14-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/421/ac540133bc2e9982.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-6x14-20AWG-CU-PVC-600V,,Cable Control 6x14+20 awg cu pvc tc ls 90°c 600v,"Cable de control 6 x 14 + 20 AWG, cobre, PVC, 600 V","Cable de control con 6 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 6 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 6 x 14 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-6x14-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/423/0809db027d7d89df.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-9x14-20AWG-CU-PVC-600V,,Cable Control 9x14+20 awg cu pvc tc ls 90°c 600v,"Cable de control 9 x 14 + 20 AWG, cobre, PVC, 600 V","Cable de control con 9 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 9 x 14 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 9 x 14 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-9x14-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/424/35c44286ce861fec.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-2x12-20AWG-CU-PVC-600V,,Cable Control 2x12+20 awg cu pvc tc ls 90°c 600v,"Cable de control 2 x 12 + 20 AWG, cobre, PVC, 600 V","Cable de control con 2 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 2 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 2 x 12 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-2x12-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/427/627a7b984de569c2.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-4x12-20AWG-CU-PVC-600V,,Cable Control 4x12+20 awg cu pvc tc ls 90°c 600v,"Cable de control 4 x 12 + 20 AWG, cobre, PVC, 600 V","Cable de control con 4 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 4 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 4 x 12 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-4x12-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/428/8e810da0f826d11e.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-6x12-20AWG-CU-PVC-600V,,Cable Control 6x12+20 awg cu pvc tc ls 90°c 600v,"Cable de control 6 x 12 + 20 AWG, cobre, PVC, 600 V","Cable de control con 6 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 6 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 6 x 12 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-6x12-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/430/1349945d44dbdabc.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-9x12-20AWG-CU-PVC-600V,,Cable Control 9x12+20 awg cu pvc tc ls 90°c 600v,"Cable de control 9 x 12 + 20 AWG, cobre, PVC, 600 V","Cable de control con 9 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 9 x 12 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 9 x 12 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-9x12-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/431/eefb284e5a09f7dd.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
SRT-CTRL-2x10-20AWG-CU-PVC-600V,,Cable Control 2x10+20 awg cu pvc tc ls 90°c 600v,"Cable de control 2 x 10 + 20 AWG, cobre, PVC, 600 V","Cable de control con 2 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.","<p>Cable de control con 2 x 10 + 20 AWG, cobre, PVC y tensión indicada de 600 V. Confirma clasificación, temperatura, aplicación y norma en la ficha técnica.</p><p>La ficha técnica del fabricante es la fuente final para confirmar las condiciones de selección e instalación.</p>",Cables de control,,,configuración: 2 x 10 + 20 AWG; conductor indicado: cobre; aislamiento indicado: PVC; tensión indicada: 600 V; temperatura indicada: 90 °C; clasificación indicada: TC; clasificación indicada: LS,SKU o referencia del fabricante; marca; ficha técnica y norma aplicable; aplicación autorizada; tensión y temperatura confirmadas en ficha,no_coincidencia_exacta,pendiente_verificacion,pendiente_permiso,https://cablescolombia.com/producto/cable-control-2x10-20-awg-cu-pvc-tc-ls-90-c-600v,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/433/52e55d75f0cb6057.webp,referencia fabricante; marca; ficha técnica; validación de especificaciones; permiso de imagen
